Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.819167   531.754010   1627.051956   2346.995462   3227.911402
0.825417   532.171704   1690.899787   2367.852681   3251.277061
0.831667   517.548997   1755.950550   2414.259021   3281.288512
0.837917   505.385746   1797.954507   2480.141742   3312.042421
0.844167   478.238553   1785.329777   2497.619347   3337.069324
0.850417   466.831263   1814.074474   2522.019663   3370.989272
0.856667   447.657854   1852.762506   2579.156885   3421.003838
0.862917   421.110811   1839.310900   2621.639146   3463.090969
0.869167   411.297876   1880.051234   2626.180506   3476.362138
0.875417   406.296022   1905.103793   2634.642600   3519.219490
0.881667   357.591560   1737.621790   2570.758252   3547.915318
0.887917   318.074133   1585.025993   2537.160922   3580.664752
0.894167   298.646161   1421.079632   2555.605595   3434.196166
0.900417   287.497383   1483.118200   2533.203647   3136.766973
0.906667   289.883224   1505.604659   2549.062245   3159.605800
0.912917   295.302338   1629.987246   2616.496683   3265.777887
0.919167   302.685558   1496.080062   2586.691359   3350.620813
0.925417   306.697629   1435.932140   2440.392980   3396.978249
0.931667   291.326152   1661.368991   2620.149020   3150.067077
0.937917   277.281673   1758.496551   2687.436738   3499.605334
0.944167   245.275613   1794.119166   2575.438515   3459.094207
0.950417   231.584340   1759.778804   2528.214844   3423.313100
0.956667   351.430165   1775.562506   2799.873426   3497.725661
0.962917   374.400077   1762.063502   2575.011557   3491.758838
0.969167   309.357066   1714.168636   2403.965983   3415.361073
0.975417   306.715228   1839.798401   3112.134853   3807.762900
0.981667   243.131803   1642.204732   3186.399060   4675.680199
0.987917   1428.267001   3089.175007   4516.262221   4932.783802
0.994167   161.059349   1893.106113   3434.008331   4487.484504
1.000417   157.530794   2044.313849   3579.249785   4478.063176
1.006667   364.034985   2024.397304   3243.683774   4457.763951
1.012917   399.075104   1983.042531   3337.619736   4443.573562
1.019167   1794.204689   3599.263414   4361.336120   5004.694609
1.025417   1716.030271   3635.885587   4335.290758   4960.757357
1.031667   1772.189428   3708.713728   4154.311869   4947.778687
1.037917   317.839438   1915.863205   3576.279563   4157.331216
1.044167   475.040368   1846.447266   3389.230050   4135.064360
1.050417   384.665265   1769.371512   3076.382503   4169.006090
1.056667   223.356247   1706.362823   3113.478595   4123.793954
1.062917   306.450149   1629.302570   3232.673237   4156.349399
1.069167   308.716983   1682.768891   3351.637346   4120.077680
1.075417   334.704708   1721.093962   3366.271489   3885.027460
1.081667   337.495859   1757.216490   3021.567543   3484.789782
1.087917   336.058352   1714.313119   2606.845801   3478.275988
1.094167   328.799282   1672.010206   2561.838180   3505.875566
1.100417   319.664880   1669.994050   2627.923911   3594.762593
1.106667   312.080315   1684.187354   2703.947949   3936.434465
1.112917   303.041763   1643.199345   2729.542668   4141.560868
1.119167   284.267293   1635.283433   2814.569358   4271.183807
1.125417   278.974930   2062.792205   3107.560482   4307.112860
1.131667   283.370720   2155.435538   3401.927920   4417.482861
1.137917   299.364312   2013.289982   3389.496782   4417.139100
1.144167   319.331471   1844.920483   3407.961563   4438.765858
1.150417   298.801005   1804.358188   3409.372869   4368.516230
1.156667   303.038545   1644.050880   3366.573830   4314.772387
1.162917   294.481669   1761.770236   3300.235190   4298.384291
1.169167   339.460201   1551.393664   2745.455938   3831.071437
1.175417   540.227413   1550.826988   2671.252951   3726.807465
1.181667   412.780073   1751.268646   2609.037137   3737.791418
1.187917   281.852434   2537.757687   2805.890770   3586.431172
1.194167   289.863199   2347.574397   2728.773281   3787.049018
1.200417   286.580491   2093.851058   2686.380470   3584.360257
1.206667   285.603676   2068.742381   2966.933542   3265.205367
1.212917   282.088946   2051.065023   3014.785935   3168.680124
1.219167   280.179995   2031.743868   2993.554796   3173.293809
1.225417   276.522090   2039.189334   3058.414971   3169.414279
1.231667   273.873910   2065.724612   3087.956980   3295.246681
1.237917   274.410415   2068.983811   3051.775840   3346.989169
1.244167   277.309795   2068.854367   3010.441506   3343.954423
1.250417   295.379109   1942.806090   3021.306690   3234.928836
1.256667   316.411159   1599.141492   3021.060992   4329.767343
